training_id,paper_id,model_id,learning_strategy,specific_methods,foundation_model,finetuning_method,labeled_samples,annotation_level,pretraining_dataset,pretraining_method,cross_env_tested,training_environment,test_environments,generalization_summary,factors_affecting_generalization,domain_adaptation_techniques,learning_strategy_clean,labeled_samples_numeric
28,28,28,Fully Supervised,,No,,"10,470 annotated trees across 9 regions spanning temperate, boreal, and tropical forests. Training set includes: CULS (1 plot), NIBIO (8 plots), RMIT (1 plot), SCION (2 plots), TUWIEN (1 plot), NIBIO2 (29 plots), NIBIO_MLS (4 plots), BlueCat (1 plot), Yuchen (1 plot)","Point-level instance masks with unique tree IDs + semantic labels (ground, wood, leaf). BlueCat annotated using 3D Forest software by two independent annotators with field validation. NIBIO2 annotated using CloudCompare by two annotators with consistency review","Two-stage training: First pretrain two MLP heads (5D embedding + binary classification) for 1000 epochs on FOR-instanceV2 training set, then joint training of full model",Supervised pre-training of auxiliary heads: 5D embedding head trained with discriminative loss for intra-instance compactness and inter-instance separation; binary classification head trained with BCE loss to distinguish tree vs non-tree voxels,Yes,"FOR-instanceV2 training set spanning 9 regions: temperate forests (CULS, TUWIEN, Austria & Czech Republic), boreal forests (NIBIO, NIBIO2, NIBIO_MLS, Norway), tropical forest (Yuchen, French Guiana), temperate eucalypt forest (RMIT, Australia), coniferous plantation (SCION, New Zealand)","Wytham woods (deciduous temperate forest, UK) - unseen tree species|LAUTx (mixed temperate broadleaved & coniferous forest, Austria) - different sensor modality (MLS)","Model demonstrates strong generalization to unseen forest types and sensor modalities. Wytham woods (unseen species) shows moderate drop (-7.8 pp F1) but still achieves best performance vs baselines (+8.2 pp over second-best). LAUTx (MLS sensor) actually shows improved performance (+7.7 pp F1), ranking second only to TreeLearn which is specifically designed for ground-based LiDAR. Authors note model is 'not constrained by specific conditions' and handles diverse forest types, geographic regions, and sensor modalities","Point cloud density variations|Sensor modality differences (ULS vs TLS vs MLS)|Forest structural complexity (simple vs dense, single-layer vs multi-layer)|Tree size distribution (presence of both large canopy and small understory trees)|Tree species composition differences|Crown overlap and intertwining patterns",,Fully Supervised,10470.0
29,29,29,Semi-Supervised,Pseudo-labeling|Foundation model zero-shot transfer,"SAM (Segment Anything Model), specifically HQ-SAM variant",Zero-shot (no fine-tuning),"Burn-in: 60 labeled images (CANATREE100) or 60 labeled images (FLICKRTREE100); Pseudo-labeling: 110,937 unlabeled images",Pixel-level instance masks and bounding boxes,"ViTDet initialized from COCO checkpoint; SAM pre-trained on SA-1B (1.1B masks, 11M images)",Supervised detection pre-training on COCO for ViTDet; SAM trained on promptable segmentation task with SA-1B dataset (99.1% automatically generated masks),Yes,"CANATREE100 (Quebec, Canada - Temperate Forest) or FLICKRTREE100 (Worldwide diverse forests)","CT-Test (Quebec, Canada)|FT-Test (Worldwide diverse forests)","Significant cross-environment performance degradation observed: 23.1 percentage point drop when training on CANATREE100 and testing on diverse FT-Test, versus only 3.8 percentage point drop in reverse direction. Authors note: 'importance of the burn-in dataset, where burning a model on FLICKRTREE100 generalizes significantly better' due to higher diversity. SAM pseudo-labels improve cross-environment robustness.",Geographic diversity of training data|Tree trunk straightness and shape complexity|Presence of branches|Trees in bunches vs isolated|Inclination of tree trunks|Dataset diversity (FLICKRTREE more diverse than CANATREE),,Semi-Supervised,100.0
30,30,30,Fully Supervised,,No,,3-band Amazon: 21 training images; 4-band Amazon: 499 training images; 4-band Atlantic: 499 training images with 20 test images for spatial transferability evaluation,Pixel-level semantic segmentation masks (forest loss masks of 512×512×1 shape),,,Yes,"Amazon Rainforest 4-band dataset, Brazil","Atlantic Forest 4-band dataset, Brazil","TransU-Net++ demonstrated superior spatial transferability compared to other models. When trained on Amazon and tested on Atlantic Forest, it achieved the highest performance (88.21% OA, 83.1% F1) and improved TransU-Net baseline by approximately +1.34% OA, +1.7% F1, +2.33% Precision, +0.73% Recall. The model showed substantial performance drops from in-domain (97.2% OA) to cross-domain testing (88.21% OA), indicating ~9% degradation in spatial transfer",,,Fully Supervised,499.0
31,31,31,Fully Supervised,,No,,3248 images (80% of 4060 images) with pixel-level instance masks for 37 tree species classes,Pixel-level instance masks,ImageNet,Supervised classification on ImageNet,No,"Tree Species Instance Segmentation Dataset (mixed tree species, 80% train split)",,,,,Fully Supervised,3248.0
32,32,32,Fully Supervised,,No,,"5133 annotated tree crowns across 400 image patches (254×254 pixels each); 80:10:10 train:test:validation split (320 training patches, 40 validation, 40 test)",Polygon delineations for individual unhealthy tree crown boundaries with pixel-level instance masks,ImageNet (for ResNet101 backbone used in U-Net and DeepLabv3+); SegFormer-B0 pre-trained weights,Transfer learning with frozen backbone for CNN models; SegFormer used pre-trained encoder,No,"Temperate Forest (mixed oak-hickory dominant forest in Windham County, Connecticut, USA)",,,,,Fully Supervised,5133.0
33,33,33,Fully Supervised,"Random data augmentation (horizontal/vertical flip, rotation, brightness/contrast/saturation change, image crop)",No,,"1408 total labeled trees (1185 for training, 223 for validation, split 80/20). 125 trees for testing acquired through tacheometric field measurements.",Pixel-level instance masks (polygon delineations). Training data labeled by visual interpretation using RGB TDOP and CHM_lidar. Test data digitized in 3D point cloud using field-measured tree positions (accuracy <10cm) to ensure high-quality reference data.,ImageNet,Supervised classification on ImageNet for ResNet-50 backbone,No,"Mixed temperate forest (Germany) with Norway spruce and European beech, stem density 226 trees/ha",,"All testing conducted within the same KROOF study area with different forest compositions (coniferous, mixed, deciduous). Performance varied by 7-9% F1 across forest types within the same site, with best performance in coniferous stands and slightly lower performance in mixed and deciduous stands.","Forest type composition (coniferous vs mixed vs deciduous)|Tree crown complexity (deciduous trees with complex crowns and elongated branches are more challenging)|Tree size (small trees <15m² difficult to detect, especially when near larger trees)|Canopy structure (closed deciduous canopy prevents laser penetration, affecting stem detection)",,Fully Supervised,1408.0
34,34,34,Mixed,Foundation model adaptation with frozen layers|Multi-source data fusion (LiDAR + OSM)|Random boundary masking augmentation|Multi-view projection (10 views)|Progressive fine-tuning|Area Prompt mechanism|Feature aggregation across multiple views,"SAM, CLIP, Informer",PEFT - Adapters,"967 training tiles (224m × 224m images), 193 test tiles. Training set includes diverse topographical conditions and vegetation cover from multiple functional areas across 8 cities",Pixel-level instance masks for vegetation areas; species labels for individual trees; temporal biomass data from 2012-2020,"SAM pre-trained on SA-1B dataset (11M images, 1.1B masks); CLIP pre-trained on 400M image-text pairs; Informer pre-trained on time-series data",Supervised segmentation for SAM; Contrastive language-image pre-training for CLIP; Self-attention mechanisms for Informer,Yes,"Training set comprises 967 tiles from 8 US cities (Boston, Chicago, Denver, Detroit, Houston, Las Vegas, Los Angeles, Miami) with diverse urban forest characteristics",Boston urban areas|Chicago urban areas|Denver urban areas|Detroit urban areas|Houston urban areas|Las Vegas urban areas|Los Angeles urban areas|Miami urban areas,"Model demonstrates robust performance across 8 diverse US cities with different climatic conditions (south-eastern and north-western US), urban layouts, and vegetation characteristics. Average domain shift ratio (DR) of 1.8 indicates 3D-CiLBE estimates are consistently closer to ground truth than 2D methods across all test cities. Species recognition accuracy of 92.72% averaged across all cities demonstrates strong transfer learning capability.","Complex meteorological conditions affecting LiDAR image quality|Natural disasters causing irregular changes in urban spatial layout|Urban construction and expansion causing dynamic vegetation changes|Variations in vegetation species composition across cities|Differences in urban functional area types (central parks, suburban parks, street greenbelts, campuses, residential neighborhoods, suburban rivers)",Multi-source data integration (LiDAR + OSM)|Foundation model pre-training on diverse datasets|Area Prompt mechanism for vegetation area guidance|OSM road network masking for spatial context|Random boundary masking during training to simulate occlusion and incomplete tree images,Mixed,1160.0
35,35,35,Fully Supervised,Parameter-efficient prompt learning (RSPrompter approach)|Foundation model adaptation with frozen encoder/decoder,SAM,PEFT - Prompt Tuning,"Quebec Plantations: 61,327 trees (train) + 22,868 (val) + 14,262 (test); SBL: 64,755 instances (train) + 17,343 (val) + 25,023 (test); BCI: training/validation/test splits from 2,280 total crowns",Pixel-level instance masks with species labels for Quebec Plantations (9 classes) and SBL (18 classes); Polygon delineations grouped by family for BCI (31 classes),SAM pre-trained on SA-1B dataset (original SAM pre-training); Mask R-CNN variants use ImageNet-21k pre-training for ResNet-50 backbone,SAM: Supervised pre-training on SA-1B; Mask R-CNN: Supervised classification on ImageNet,No,"Separate models trained for each dataset: Quebec Plantations (Boreal/Agroforestry), SBL (Temperate Forest), BCI (Tropical Forest)",,"No cross-environment transfer testing conducted. Models trained and evaluated separately on each dataset representing different forest types (plantations, temperate, tropical).",Canopy structure complexity|Tree separation (well-separated vs overlapping crowns)|Canopy density (dense closed canopy vs sparse)|Vertical structure differences (plantations with uniform heights vs forests with diverse heights)|Number of species/classes (9 classes in Quebec Plantations vs 18 in SBL vs 31 in BCI)|Class imbalance and long-tailed distribution|Annotation quality and completeness (BCI has missing annotations from undetected crowns)|DSM vertical resolution (1m for BCI vs higher for others),,Fully Supervised,61327.0
36,36,36,Fully Supervised,,No,,"Combined dataset: 64,186 training pixels for 60% split, 10,698 validation pixels for 10% split, 50,087 test pixels for 30% split. Total samples across all classes: 124,971 pixels. Per-class breakdown in Table 1.","Polygon delineations from New Brunswick wetland inventory, converted to pixel-level semantic segmentation masks",No pre-training,,Yes,"Combined reference data from three pilot sites: Albert county, York county, and Grand Bay-Westfield, New Brunswick, Canada",Albert county (separate test set)|York county (separate test set)|Grand Bay-Westfield (separate test set),"WetMapFormer demonstrates strong generalization capability across multiple wetland sites within New Brunswick region. Combined training across three pilot sites achieves 96.31% AA, comparable to site-specific results (96.87%-98.23% AA), indicating robust cross-site transferability within similar wetland ecosystems. Authors note this proves the overall effectiveness and generalization capability of WetMapFormer for wetland classification across diverse spatial locations, though all test sites are within same geographic region (New Brunswick, Canada).","Wetland dynamics|Seasonal vegetation growth|Water level trends|Spectral signature variations across sites|High degree of similarities between wetland species (e.g., bog and fen have similar spectral reflectance)|Same wetland species can have different spectral characteristics in different spatial and temporal conditions|Training data quantity (model performance improves substantially with more training data: 81.22% AA with 10% data to 97.33% AA with 90% data)",,Fully Supervised,64.0
37,37,37,Fully Supervised,Multi-task learning (joint CHM and canopy cover prediction),No,,"195,416 tiles covering approximately 190,000 km² with lidar CHM labels from 2014-2021 acquisitions across 24 EPA L3 ecoregions",Dense pixel-level canopy height values (0.5m resolution) derived from 3DEP aerial lidar point clouds processed to CHM (DSM minus DTM),,,Yes,"Western United States - 24 EPA L3 ecoregions with stratified random sampling including Temperate Forest, Boreal Forest, Semi-Arid, Urban, Peri-Urban environments (training set: 195,416 tiles from lidar years 2014-2021)","Same 24 EPA L3 ecoregions as training but held-out test tiles (67,227 tiles)","VibrantVS consistently demonstrates lower error ranges in nearly all 24 ecoregions analyzed (narrower box plot widths). Performance is best in desert and low-elevation ecoregions (vegetation <10m) and degrades in tall-tree regions (>25m 95th percentile). Model maintains performance advantage over baselines across all ecoregions, but absolute error increases with tree height and in high-altitude/steep slope areas. Some ecoregions with limited training data show reduced performance, though still better than baselines.",Tree height distribution - tall trees >50m pose substantial challenges (underestimation)|Training data imbalance across ecoregions - regions with more training samples show better performance|High-altitude areas and steep slopes show degraded performance for all models|Canopy density variations across biomes - dense western forests with 95th percentile heights >25m more challenging|Tree species characteristics - coastal redwoods and cedars in Cascades/Willamette Valley most difficult|Spatial footprint differences between NAIP and lidar crown representations affect low-height estimates,,Fully Supervised,195.0
38,38,38,Fully Supervised,PEFT (LoRA) fine-tuning of SAM for rapid mask generation,SAM,PEFT - LoRA,"11,067 training tiles; 1,010 validation; 800 testing (1024×1024 image–mask pairs); ~9,100 field-collected tree points used to guide labeling",Pixel-level semantic segmentation masks,,,No,Urban and agricultural landscapes in Fujairah/Sharjah (UAE) within the same broader region,,,Visual similarity with Prosopis juliflora|Terrain/background similarity in mountainous areas|Tree color variation due to water content|Lighting/shadow variations,,Fully Supervised,11067.0
39,39,39,Fully Supervised,,No,,"TreeCrown: 1,360 images with 23,000 annotated tree crowns; Landcover.AI: 21,924 images; UAVid: urban scenes. Data split: 80% train/validation (80% train, 20% validation), 20% testing",Pixel-level instance masks and semantic segmentation masks with per-pixel species annotations (14 tree species for TreeCrown),No pre-training,Models trained from scratch for 130 epochs,Yes,"Trained on multiple datasets: TreeCrown (Temperate-mixed forest, Quebec), Landcover.AI (Poland aerial scenes), UAVid (urban scenes)","TreeCrown (forest canopy segmentation)|Landcover.AI (buildings, forests, water, roads)|UAVid (urban semantic segmentation with 8 classes)","Model demonstrates strong cross-domain generalization, outperforming SOTA models across three diverse aerial scene datasets with varying complexities. The consistency of improvements across TreeCrown (forest-focused), Landcover.AI (mixed aerial scenes), and UAVid (urban) suggests robust generalization capabilities. Authors explicitly state the model 'demonstrated superior performance...proving effective at capturing complex features across various models' and 'demonstrates the generalisability of our PerceptiveNet model.'","Variable lighting conditions and shadows obscuring crown boundaries|Complex backgrounds with overlapping canopies|Scale variations from different UAV heights|Subtle spectral differences between species|Texture feature variability with lighting, shadows and atmospheric conditions",,Fully Supervised,1360.0
40,40,40,Fully Supervised,"Data augmentation (rotation by 90°, 180°, 270°)",No,,"89,069 annotated images containing 664,689 date palm tree instances (after augmentation from 23,238 original tiles). Original dataset: 23,238 image tiles (512×512) manually annotated with polygon delineations.",Instance-level polygon masks - each date palm tree crown manually encircled as circular-shaped polygon based on visual assessment and radius delimitation procedure,ImageNet-21k,Supervised classification on ImageNet - all DCNN and Swin Transformer backbones initialized with ImageNet pretrained weights,Yes,"Ajman Emirate, UAE - mixed agricultural and urban landscapes with date palm plantations","Al Ain City, UAE (independent dataset for transferability evaluation)","Models demonstrated excellent transferability to unseen geographic location within same region (Al Ain), achieving 95.6-98.2% mAP50. However, cross-environment testing was limited to same biome (agroforestry/semi-arid UAE). No testing across different biomes (e.g., tropical, temperate forests) was conducted.","Spatial resolution (GSD) is primary factor affecting generalization|Crown size variation with age affects detection accuracy|Background complexity (soil, vegetation, urban elements) influences performance|Annotation quality and consistency (authors note some leaf ends unintentionally ignored)|Tree density and overlapping crowns in dense plantations|Seasonal variation and lighting conditions during acquisition",,Fully Supervised,89.0
41,41,41,Zero-Shot,Zero-shot segmentation using automatic mask generator|Zero-shot transfer via bounding box prompting from specialized detectors,SAM2 (Segment Anything Model 2),Zero-shot (no fine-tuning),0 labeled tree samples - uses pretrained SAM2 model,No tree-specific annotations required,SAM2 pretrained on Internet-scale general image data; image encoder pretrained using Masked Autoencoders (MAE),Masked Autoencoders (MAE) for vision transformer encoder; trained for promptable visual segmentation,Yes,SAM2 pretrained on general Internet-scale image data (not tree-specific),"Emerald Point (California temperate forest)|NEON sites (22 sites across US, mixed biomes)|Detectree2 sites (Malaysia tropical forests)","SAM2 demonstrates impressive generalization capabilities across diverse geographical regions (California, continental US, Malaysia) and biomes (temperate, tropical) without any fine-tuning. Model generalizes to unseen Emerald Point data better than CNN baselines. Works across both oblique and top-down perspectives, showing better viewpoint invariance than models trained only on orthomosaics.",Camera perspective (oblique vs top-down orthomosaics)|Forest density variations|Geographic location|Biome type (temperate vs tropical)|Tree size distribution,,Zero-Shot,0.0
42,42,42,Fully Supervised,Geometric transformations|Contrast adjustment|Mixup-based augmentation,No,,"Approximately 1,200 labeled trees for training and validation (out of 1,364 total annotated), with 5,548 training image patches, 686 validation patches, and 878 test patches (256×256 pixels) generated through cropping and augmentation","Pixel-level instance masks with manual labeling using Labelme, integrating CHM and LiDAR point cloud data for accurate crown boundary determination",ImageNet,Supervised classification on ImageNet,Yes,"Subtropical mixed forest (Cunninghamia lanceolata, Pinus massoniana, Phyllostachys edulis), southern Ganzhou, Jiangxi Province, China",,"The model was tested on two experimental plots within the same region with different terrain elevation and crown overlap characteristics. Performance was slightly lower in Forest 2 (87.14% IoU vs 87.60% in Forest 1) due to higher degree of crown overlap, demonstrating sensitivity to canopy density variations. The two regions exhibited significant differences in terrain elevation and point cloud overlap between adjacent trees.",Crown overlap density|Terrain elevation variations|Forest density|Seasonal foliage variation (untested in deciduous/tropical forests),,Fully Supervised,1200.0
43,43,43,Fully Supervised,,LLaVA-1.5,Progressive Fine-tuning (head then full),1.6 million multimodal EO-language pairs in training set,Text annotations include: (1) Land cover classification labels from Copernicus Global Land Cover Layers (20+ categories); (2) Ecological patch counts; (3) VQA-style question-answer pairs for human activity monitoring; (4) Quantitative ground-truth AGB values. Generated using ChatGPT-4o guided by carefully designed prompts.,LLaVA-1.5 pre-trained on vision-language data (foundation model),Vision-language pre-training (inherited from LLaVA-1.5 foundation model),Yes,"Global coverage from AGBD dataset covering multiple biomes (Temperate Forest, Tropical Forest, Boreal Forest, Urban, Peri-Urban, Agroforestry, Wetland, Mangrove, Savanna, Semi-Arid, Mixed Forest)","Same global coverage with diverse land cover categories tested: Cultivated and managed vegetation, Herbaceous vegetation, Open/Closed forests (deciduous/evergreen, needle/broad leaf), Shrubs, Urban built up, Permanent water bodies, Snow and ice, Bare sparse vegetation","Model demonstrates ability to handle diverse environmental contexts within unified framework, covering forests, urban areas, wetlands, agricultural lands, and bare/sparse vegetation. Dataset designed with balanced, diverse, and representative EO image data covering various land cover types, AGB values, human influences, and geographic distributions to build generalizable models. However, generalization performance varies by land cover category - model shows stronger performance on well-represented categories (cultivated vegetation, herbaceous vegetation, forests) compared to underrepresented categories (snow/ice, bare sparse vegetation).",Land cover type diversity - model performance varies by vegetation type and structural complexity|Long-tail distribution of AGB values where larger values have fewer training samples|Image patch size (250m×250m) limiting spatial detail capture for complex environmental patterns|Annotation quality and consistency across different land cover categories|Spectral signature variations across different sensors and environmental conditions,,Fully Supervised,1600000.0
44,44,44,,,No,,,,,,,,,,,,,
45,45,45,Fully Supervised,,SAM,Zero-shot (no fine-tuning),"Approximately 800 annotated trees for training (from total 1,096 trees with 10:1 train-test split)",Pixel-level instance masks with very high level of detail - labels digitized around single branches with very refined edges,"ImageNet pre-training for ResNet backbones (Faster R-CNN, Mask R-CNN, TensorMask). SAM pre-trained on 1.1 billion masks from 1.1 million images using computer vision and NLP techniques.","Supervised classification on ImageNet for CNN backbones. SAM used image encoder, prompt encoder, and mask decoder pre-training.",No,"Temperate Forest (Black Forest region, Freiburg im Breisgau, Germany)",,,,,Fully Supervised,0.0
46,46,46,Fully Supervised,,No,,"Total of 8799 images (2819 for summer, 5980 for fall), split 80% for training and 20% for testing.",Bounding boxes,"ImageNet for ResNet18, DenseNet, EfficientNet, and ViT. COCO for YOLOv5.",Supervised classification on ImageNet and object detection on COCO.,Yes,Models were trained separately on Summer and Fall datasets.,Fall|Summer,"Models trained on one season can hardly be transferred to another, with overall transferability accuracy under 0.5. The massive changes in canopy appearance at different phenological stages make seasonal transferability challenging.",Seasonal variations in canopy features|Foliage color changes|Leaf-on/leaf-off status|Varying densities of remaining leaves,,Fully Supervised,8799.0
47,47,47,Fully Supervised,Parameter-efficient prompt tuning (RSPrompter)|Frozen foundation model encoder/decoder with trainable prompt encoder|DSM integration through trainable encoder,SAM (Segment Anything Model),PEFT - Prompt Tuning,"15,742 training tiles containing 61,327 annotated tree instances across 9 species classes",Pixel-level instance masks with species labels (polygon delineations converted to instance masks),"SAM: Pre-trained on SA-1B dataset (11M images, 1.1B masks); Mask R-CNN and Faster R-CNN backbones: ImageNet-21k",SAM: Supervised segmentation on SA-1B with promptable mask prediction; Mask/Faster R-CNN: Supervised classification on ImageNet,No,Quebec plantation sites (15 sites with geographic block splits to avoid spatial autocorrelation),,,,,Fully Supervised,15742.0
48,48,48,Fully Supervised,"Data augmentation: random rotations (90°, 180°, 270°), horizontal flipping, brightness adjustment using Torchvision RandomRotation, RandomHorizontalFlip, ColorJitter functions|Super-resolution reconstruction using Real-ESRGAN for image quality enhancement",No,,"4,338 tree crown samples total (split 8:2 for training:validation after augmentation). Original samples: 1101 Bamboo, 880 Ginkgo, 1105 Metasequoia, 1252 Poplar",Pixel-level semantic segmentation masks (64×64 pixel patches extracted via sliding window),"ImageNet pre-trained weights (standard for ResNet-50, ConvNeXt-T, ViT-B, Swin-T)",Supervised classification on ImageNet (transfer learning from pre-trained models),No,"Dongtai Forest Farm, Jiangsu Province, China (Agroforestry planted forest)",,,,,Fully Supervised,4338.0
49,49,49,Fully Supervised,Few-Shot,"SAM, Grounding DINO",Head Fine-tuning (frozen backbone),"Few-shot evaluation was conducted with k={1, 10, 100, ALL} examples from OOD training splits.",Bounding boxes,,,Yes,"4 in-distribution (ID) agro-climatic zones in Rajasthan, India.","4 out-of-distribution (OOD) agro-climatic zones in Rajasthan, India.","All models, including foundation models, exhibit a significant drop in performance (over 20-40% in AP) when evaluated on OOD agro-climatic zones compared to ID zones.",Geographic variation across agro-climatic zones|Precipitation differences|Vegetation appearance differences|Soil background variation,,Fully Supervised,2500.0
50,50,50,Self-Supervised,Masked Image Modeling (75% mask ratio)|Random temporal sampling during pre-training to increase temporal diversity|Hierarchical multi-scale representation learning|Spatiotemporal attention mechanisms (STGA/D-STGA)|Self-supervised pre-training on large-scale unlabeled SITS data,"TiMo (self-built foundation model, not adapting external FM like SAM/CLIP)",Full Fine-tuning (all parameters),"Pre-training: 1,000,000 unlabeled Sentinel-2 images (self-supervised); Fine-tuning varies by task: MultiEarth 1,565 images (training split), MultiSenGE 8 tiles for training (8,157 total samples), MTLCC variable split, KuroSiwo 7,103 samples with 3:1:1 train/val/test split","Pre-training: No labels (self-supervised masked image modeling); Fine-tuning: Pixel-level semantic segmentation masks for MultiEarth, MultiSenGE, KuroSiwo; Class labels for Sen12Flood","MillionST: 1,000,000 Sentinel-2 images from 100,000 geographic locations (1,317 cities in Europe, North Africa, West Asia), 10 temporal phases over 5 years (2017-2022), 12 spectral bands at 10m/20m/60m resolution","Masked Image Modeling adapted from MAE for hierarchical architectures (following Hiera approach): 75% mask ratio applied to spatial-temporal tokens; Mask unit of 1×32×32 pixels (modified from Hiera's 2×32×32 for video to account for sparser SITS temporal intervals); Loss computed between reconstructed and original pixels using normalized settings; Pre-trained for 100 epochs including 10 warmup epochs; Base learning rate 1.5×10⁻⁴, weight decay 0.05, effective batch size 128",Yes,"Pre-training: MillionST (Europe, North Africa, West Asia - 100,000 locations, 1,317 cities)","MultiEarth: Amazon rainforest (Tropical Forest)|MultiSenGE: 14 Sentinel-2 tiles from Europe (Mixed biomes: Temperate, Urban, Agricultural)|MTLCC: Agricultural areas (Crop classification)|Sen12Flood: West/Southeast Africa, Middle East, Australia (Wetland/Flood zones)|KuroSiwo: SAR data from diverse flood-prone regions (cross-sensor transfer from optical to SAR)","Model demonstrates strong cross-environment generalization: 1) Pre-trained on Europe/North Africa/West Asia, successfully transfers to Amazon tropical forests, diverse European biomes, agricultural regions, and flood zones globally; 2) Achieves state-of-the-art performance across all test environments despite geographic and biome shifts; 3) Successfully handles cross-sensor transfer (optical Sentinel-2 pre-training → SAR Sentinel-1 application on KuroSiwo); 4) Outperforms domain-specific baselines (Prithvi-EO-2.0, SatMAE) trained on larger/more diverse datasets, suggesting MillionST's 10-temporal-phase structure aids generalization.","Geographic coverage: MillionST primarily covers Europe, North Africa, West Asia, creating potential bias for other regions|Temporal cardinality: MillionST's 10 timestamps over 5 years provides richer temporal diversity than competing datasets (FMoW ≤5 timestamps)|Sensor modality shifts: Optical-to-SAR transfer shows performance gap but maintains competitiveness|Task complexity: Multi-class land cover segmentation (MultiSenGE, 11 classes) more challenging than binary deforestation detection|Training data availability: Less multispectral training data affects non-RGB performance (noted in DOFA-CLIP example)",Hierarchical multi-scale feature extraction to handle varying spatial patterns across environments|Spatiotemporal gyroscope attention to capture generalizable temporal dynamics|Random temporal sampling during pre-training to increase temporal pattern diversity|Masked image modeling (75% mask ratio) for self-supervised representation learning,Fully Supervised,1565.0
51,51,51,Fully Supervised,"Data augmentation (flipping at 90°, 180°, 270°)",No,,"664,689 annotated date palm tree instances (89,069 image tiles of 512×512 pixels after augmentation)",Pixel-level instance masks with polygon delineations,ImageNet,Supervised classification on ImageNet,Yes,"Agroforestry (Date Palm Plantation, Ajman, UAE)",Independent date palm dataset from different city in UAE (0.1m GSD),"Model demonstrated strong generalizability to multiscale UAV images acquired at different geographical locations. Performance actually improved on the independent dataset (different city, coarser resolution), achieving mAP50 scores ranging from 95% to 98.1% and F-scores ranging from 94.7% to 98.5%, indicating excellent transferability within similar agroforestry environments.",Spatial resolution differences|Tree size distribution|Crown size variations|Visual characteristics diversity|Background complexity,,Fully Supervised,664.0
52,52,52,Fully Supervised,,No,,Classification: ~31GB training data (80% of 39GB total); Segmentation: 192 manually annotated images at 500×500 pixels,Instance masks for tree crowns (manual polygon annotation using VIA tool),"ImageNet-21k (for ViT-B/16), ImageNet (for ResNet18)",Supervised classification on ImageNet,No,"NEON Domains 03, 05, 16 (Multiple US forest sites) - 80% of 39GB dataset",,No cross-environment testing performed. Model only evaluated on held-out test set from same NEON domains.,Dense plant growth|Small plant age|Similarity in forest features across different forest lands|Crown differences require extremely high data volume|Temporal and geographic changes from delayed photography,,Fully Supervised,31.0
53,53,53,,,No,,,,,,,,,,,,,
54,54,54,Fully Supervised,,No,,SensatUrban: 10 tiles (approximately 400m² each) from Birmingham; Semantic3D: 20 tiles from training split; Used approximately 110 points per point cloud as input during training,Semantic segmentation masks with pixel-level labels for vegetation classes,,,Yes,SensatUrban: Birmingham (10 tiles for training); Semantic3D: Training splits from various outdoor scenes,"SensatUrban: Cambridge (4 tiles), York (2 tiles), Birmingham validation (2 tiles)|Semantic3D: Test splits","Model was trained and tested on tiles from different UK cities (Birmingham, Cambridge, York) on SensatUrban, and tested on completely different Semantic3D dataset, demonstrating cross-dataset and cross-location transferability. Higher performance on Semantic3D (77.60% vs 63.31% mIoU) may reflect different dataset characteristics.",,,Fully Supervised,10.0
55,55,55,Fully Supervised,Synthetic data generation for automatic annotation|Procedural synthesis for large-scale data generation,No,,"50,000 synthetic labeled frames (47,000 training, 3,000 testing)",Pixel-level instance masks and bounding boxes in COCO format,"Custom synthetic virtual forest dataset (50,000 frames)",Supervised training on synthetic data with perfect ground-truth annotations generated automatically from Unreal Engine,Yes,Virtual forest scenes simulated in Unreal Engine,Real Canadian forests (CanaTree100),"Model demonstrates successful sim-to-real transfer, trained entirely on synthetic data but achieving strong performance on real-world Canadian forest imagery, validating the photorealism and utility of the synthetic training dataset.",Visual appearance differences between synthetic and real forests|Species composition and ecosystem variability differences|Domain gap between simulated and real imagery,,Fully Supervised,50.0
56,56,56,Fully Supervised,Masked Image Modeling (SimMIM),Prithvi-based geospatial foundation model,Head Fine-tuning (frozen backbone),"GEDI measurements from Brazil 2022 across three eco-regions, with preprocessing to exclude cloud-contaminated images",Pixel-level AGB regression values from GEDI L4A product,"Global GFM: 1000 HLS image tiles sampled across the globe; Local GFM: HLS image tiles sampled across US, mainly Texas and Louisiana",Self-supervised learning using SimMIM (Simple framework for Masked Image Modeling) - masking large parts of input and tasking model with reconstructing them,Yes,"Models fine-tuned separately on each of three Brazilian eco-regions: EC1 (Tropical/Subtropical Moist Broadleaf Forests), EC2 (Tropical/Subtropical Dry Broadleaf Forests), EC3 (Tropical/Subtropical Grasslands, Savannas and Shrublands)",,"Models were fine-tuned separately on each eco-region rather than tested for cross-eco-region transfer. Performance patterns differ across eco-regions: GFMs excel at low AGB values (0-50 Mg/ha) across all eco-regions, while U-Net shows better performance for moderate AGB ranges (100-200 Mg/ha) in EC2 and EC3.",AGB value range|Eco-region type (forest vs grassland/savanna)|Canopy density differences across eco-regions,,Fully Supervised,2022.0
