model_id,paper_id,model_name,category,backbones,key_innovation,parameter_count,inference_time,training_time,memory_requirements,ablation_variants,category_clean,parameter_count_millions
43,43,REO-VLM,Vision-Language Model,LLaVA-1.5,"First unified VLM that integrates scientific regression capabilities with traditional generative functions for Earth Observation. Introduces reverse projection module that aligns domain-specific knowledge inferred from textual embeddings with visual features, breaking information bottleneck of image-only regression. Employs two-stage training strategy decoupling generation and regression tasks to mitigate conflicting optimization objectives.",,,,,Last layer visual tokens|Half layers visual tokens|Half layers (deep) visual tokens|All layer visual tokens,Vision-Language Model,
44,44,"Multiple models evaluated: Segformer (MiT-B2, B3, B4), Segmenter (ViT-tiny, small, base), UperNet-Swin (tiny, small, base), DPT (ViT-base)",Pure Vision Transformer,Segformer MiT-B2|Segformer MiT-B3|Segformer MiT-B4|ViT-tiny|ViT-small|ViT-base|Swin-tiny|Swin-small|Swin-base|DPT ViT-base,"Comprehensive evaluation of multiple state-of-the-art vision transformers (Segformer, Segmenter, UperNet-Swin, DPT) with varying model complexities for large-scale date palm tree segmentation from multiscale and multisource VHSR images, demonstrating their generalizability and transferability across different spatial resolutions and geographical regions.",Segformer models: relatively small number of parameters (specific values shown in Figure 14c comparison). Segmenter had lowest parameters among evaluated models. UperNet-Swin had highest parameter count.,Average inference time per image shown in Figure 14f. Segmenter and Segformer had lowest inference times. UperNet-Swin had higher inference time.,"Training time comparison shown in Figure 14e. Segmenter and Segformer required least training time. Models trained for 50,000 iterations with evaluation every 2,000 iterations.",Training conducted on 8x NVIDIA Tesla K80 GPUs with 512GB RAM. Batch size set to fully utilize 8 GPUs.,Segformer MiT-B2|Segformer MiT-B3|Segformer MiT-B4|Segmenter ViT-tiny|Segmenter ViT-small|Segmenter ViT-base|UperNet-Swin-tiny|UperNet-Swin-small|UperNet-Swin-base|DPT ViT-base,Pure Vision Transformer,14.0
45,45,"TreeSeg Toolbox (includes Faster R-CNN, Mask R-CNN, TensorMask, SAM)",CNN-Transformer Hybrid,ResNet-101|ResNet-50|SAM (ViT-H),Comprehensive toolbox comparing multiple instance segmentation architectures with systematic evaluation of vegetation indices (11 VIs tested) and image enhancement techniques specifically for tree crown segmentation from multispectral UAV data. Provides pre-trained models as ArcGIS Pro toolbox for operational forestry applications.,"ResNet-101 backbone (Faster R-CNN), ResNet-50 backbone (Mask R-CNN, TensorMask), ViT-H backbone (SAM)",SAM inference may take more than a day depending on hardware resources,"40,000 iterations for Faster R-CNN, Mask R-CNN, TensorMask",,Faster R-CNN with ResNet-101|Mask R-CNN with ResNet-50|TensorMask with ResNet-50|SAM (ViT-B and ViT-H)|RGB vs Image Enhancement vs 11 different Vegetation Indices,Foundation Model Adaptation,101.0
46,46,"Comparative study of five models: ResNet18, DenseNet, EfficientNet-B0, Vision Transformer (ViT), YOLOv5",Pure Vision Transformer,ResNet18|DenseNet|EfficientNet-B0|Vision Transformer (ViT)|YOLOv5,"A comparative performance analysis of five state-of-the-art deep learning models, including four CNNs and one Vision Transformer, for tree species classification using multi-seasonal UAV RGB images in a temperate forest.",,,,,,Pure Vision Transformer,
47,47,"DSMPrompter (novel contribution); also evaluates SAM, RSPrompter, Mask R-CNN, Faster R-CNN+SAM, Mask R-CNN+SAM",Foundation Model Adaptation,SAM (ViT-H)|ResNet-50 (Mask R-CNN and Faster R-CNN backbones),"DSMPrompter enhances RSPrompter by integrating Digital Surface Model (DSM) information through a trainable DSM encoder that adds encoded DSM to image embeddings before the mask decoder, improving tree crown instance segmentation performance.",Mask R-CNN: 88M parameters; Faster R-CNN: 41M parameters,,DSMPrompter converges faster (best model after 7 epochs on average) compared to RSPrompter (20 epochs),,SAM automatic (100 points per side)|SAM automatic (10 points per side)|SAM+DSM prompts|Mask R-CNN (from scratch)|Mask R-CNN (ImageNet pretrained)|Mask R-CNN+DSM|Faster R-CNN+SAM|Faster R-CNN+SAM+DSM|Mask R-CNN+SAM|Mask R-CNN+SAM+DSM|RSPrompter|DSMPrompter,Foundation Model Adaptation,88.0
48,48,"Comparison study of ResNet-50, ConvNeXt-T, ViT-B, and Swin-T",Pure Vision Transformer,ResNet-50|ConvNeXt-T|ViT-B/16|Swin-T,"First systematic comparison of CNN (ResNet, ConvNeXt) and pure Vision Transformer models (ViT, Swin Transformer) for tree species classification on UAV imagery, combined with Real-ESRGAN super-resolution reconstruction to address image quality degradation issues (blurred edges, weak texture) in low-altitude aerial images.","ResNet-50: 25.55 MB, ConvNeXt-T: 28.58 MB, ViT-B: 86.41 MB, Swin-T: 28.26 MB",,"150 epochs for all models on original dataset, convergence achieved around 120-130 epochs",8GB GPU memory (NVIDIA GeForce RTX 3070Ti used),ResNet-50|ConvNeXt-T|ViT-B|Swin-T,Pure Vision Transformer,50.0
49,49,Grounding DINO / SAM / Faster-RCNN,Foundation Model Adaptation,Grounding DINO|SAM (ViT encoder)|Faster-RCNN (ResNet-101),"The paper's primary contribution is a benchmark dataset and evaluation protocol for geographic distribution shifts in tree detection, not a new model architecture.",,,,,Full fine-tuning|Head fine-tuning|Head fine-tuning then full fine-tuning,Foundation Model Adaptation,
50,50,"TiMo (TiMo-Base, TiMo-Large, TiMo-Huge)",Pure Vision Transformer,Hierarchical Vision Transformer (Swin Transformer-inspired)|TiMo-Base|TiMo-Large|TiMo-Huge,"Novel hierarchical vision transformer foundation model with Spatiotemporal Gyroscope Attention (STGA) and Differential Spatiotemporal Gyroscope Attention (D-STGA) mechanisms that dynamically capture evolving multiscale spatiotemporal patterns across time and space. STGA computes correlations only among tokens sharing the same spatial or temporal positions, forming a gyroscopic structure in spatiotemporal domain. D-STGA uses temporal differences to reduce computational complexity from O(T²) to O(T). Pre-trained via masked image modeling on MillionST dataset (1M images, 10 temporal phases, 5 years).",TiMo-Base: 91M parameters; TiMo-Large: 298M parameters; TiMo-Huge: 675M parameters (configuration in Table 1),,Pre-training: 100 epochs (including 10 warmup) on NVIDIA RTX 4090 GPUs; Fine-tuning: 20-50 epochs depending on task,"D-D-M-M configuration: 14,222M GPU memory; D-M-M-M: 15,332M GPU memory; S-M-M-M: 15,284M GPU memory; M-M-M-M: Out of Memory on RTX 4090 (measured on MultiEarth dataset, Table 7)","TiMo-Base (91M params)|TiMo-Large (298M params)|TiMo-Huge (675M params)|Different attention mechanisms: M-M-M-M (all MHSA), S-M-M-M, D-M-M-M, D-D-M-M, D-D-D-M, D-D-D-D|Random vs Fixed temporal sampling during pre-training",Foundation Model Adaptation,91.0
51,51,Mask R-CNN with MViTv2 backbone,CNN-Transformer Hybrid,MViTv2-tiny|MViTv2-small,"Integration of improved multiscale vision transformer (MViTv2) with feature pyramid network and Mask R-CNN, combined with improved slicing-aided hyper inference (SAHI) for effective large-scale instance segmentation. MViTv2 incorporates decomposed relative positional embeddings and residual pooling connections for better multiscale representation.",43.7M parameters (MViTv2-tiny),,11.35 hours (MViTv2-tiny),,MViTv2-tiny|MViTv2-small,CNN-Transformer Hybrid,43.7
52,52,Vision Transformer (ViT) + Mask R-CNN joint architecture,CNN-Transformer Hybrid,ViT (custom)|ViT-B/16 (pre-trained)|ResNet18 (pre-trained)|FPN (Mask R-CNN feature extractor),"Proposes a joint architecture combining Vision Transformer for forest type classification and recognition with Mask R-CNN for single tree crown area instance segmentation, enabling both broad forest classification and individual tree-level analysis from high-resolution remote sensing imagery.",,,Pre-trained ViT-B/16 trained for 10 epochs; Pre-trained ResNet18 trained for 9 epochs; Custom ViT trained for 20 epochs,,Custom ViT (non pre-trained)|Pre-trained ResNet18|Pre-trained ViT-B/16,CNN-Transformer Hybrid,
53,53,e-TransUNet,CNN-Transformer Hybrid,TransUNet (ViT-based),Integrates spatial transformation network (STN) and attention gates into the skip connection path of TransUNet to enhance feature representation and enable spatially invariant transformations for precise deforestation mapping.,,,"Similar to TransUNet baseline (slightly higher). 3-band Amazon: ~10 min, 4-band Amazon: ~10 min, 4-band Atlantic: ~10 min (based on Figure 15)",,TransUNet-AG (attention gates only)|TransUNet-ST (spatial transformer only)|e-TransUNet (both AG and ST),CNN-Transformer Hybrid,
54,54,3DSVT (3D Semantic Vegetation Transformer),CNN-Transformer Hybrid,RandLA-Net|Slot Attention,"The model combines RandLA-Net for efficient local feature extraction with a slot attention mechanism instead of traditional multi-head attention for object-centric representation learning. Slot attention provides memory efficiency with affinity matrix size D×K compared to D×D for multi-head attention, where K is the number of classes.",1.30 million parameters,Approximately 200 seconds,,Trained on two NVIDIA GeForce GTX 1080 Ti GPUs with 24GB total memory,,CNN-Transformer Hybrid,1.3
55,55,M2fNet (Multi-modal Forest Monitoring Network),CNN-Transformer Hybrid,Swin Transformer,"Multi-modal architecture using dual Swin Transformer encoders for RGB and depth feature extraction with fusion module, combined with Mask2former-style query-based Transformer decoder, trained on large-scale photorealistic synthetic forest dataset generated in Unreal Engine.",,,,,,CNN-Transformer Hybrid,
56,56,Geospatial Foundation Model (GFM) with Swin-B backbone,Foundation Model Adaptation,Swin-B,"Fine-tuning a geospatial foundation model pre-trained with SimMIM using a frozen Swin-B encoder and adapted UPerNet decoder with learned 4x upscaling via Pixel Shuffle layers, requiring only 0.6M tunable parameters compared to 7.8M for U-Net baseline.",Global/Local GFM: 0.6M tunable parameters (frozen encoder); U-Net: 7.8M parameters (13x more),,100 epochs on 8 A100 GPUs with max learning rate 2e-4 and cosine decay schedule with 10 epoch warm-up,,,Foundation Model Adaptation,0.6
57,57,PCT (Point Cloud Transformer),Pure Vision Transformer,PCT,"First application of Point Cloud Transformer architecture to individual tree species classification from UAV LiDAR data, directly processing 3D point clouds without voxelization or gridding while leveraging self-attention mechanisms to extract relationships between disordered points.",,,600 epochs total,NVIDIA GTX1080ti GPU,,Pure Vision Transformer,
58,58,"SAM with PEFT methods (AdapterH, AdapterL, LoRA, SAM Decoder)",Foundation Model Adaptation,SAM (ViT-H),"Modified SAM's mask decoder to output masks corresponding to dataset categories without requiring manual prompting, and applied parameter-efficient fine-tuning (PEFT) methods including adapters and LoRA to adapt SAM for automatic forest floor segmentation.","AdapterH: 9.66M trainable params, AdapterL: 7.00M trainable params, LoRA: 4.99M trainable params, SAM Decoder: 4.34M trainable params, SAM zero-shot: 0M trainable params",,50 epochs with batch size 4 using SGD optimizer,,AdapterH (serial adapter)|AdapterL (parallel adapter)|LoRA|SAM Decoder only fine-tuning|SAM zero-shot,Foundation Model Adaptation,9.66
59,59,TreeFormer,CNN-Transformer Hybrid,Pyramid Vision Transformer (PVT),"First semi-supervised transformer-based framework for tree counting that introduces pyramid tree feature representation (PTFR), contextual attention-based feature fusion (CAFF), tree density regressor (TDR) modules, and tree counter tokens (TCT) for global count optimization, combined with pyramid learning strategy using local tree density consistency and local tree count ranking losses.",116.144M parameters,16ms per image,500 epochs,,,CNN-Transformer Hybrid,116.144
60,60,Faster R-CNN (Swin-T),CNN-Transformer Hybrid,Swin-Tiny,"First application of Swin Transformer as backbone in Faster R-CNN for urban tree detection, combined with transfer learning and semi-supervised approach using high-confidence predictions to fine-tune the model for new geographic locations.",~45.0M (Faster R-CNN Swin-T estimated),0.103s (±0.062s) per 512×512 image on RTX 2080 Super GPU,35.760s (±0.417s) per epoch on RTX 2080 Super GPU,8GB GPU RAM (GeForce RTX 2080 Super),Swin-Tiny|ResNet50,CNN-Transformer Hybrid,45.0
61,61,TreeVision,CNN-Transformer Hybrid,ViT-Base,"TreeVision combines Vision Transformer (ViT-Base) as backbone with dilated convolutional networks to leverage global self-attention mechanisms and large receptive fields for density map generation. The architecture replaces CSRNet's VGG16 backbone with ViT, enabling better capture of contextual information while maintaining the efficiency of dilated convolutions. Additionally, proposes novel ground truth generation method that applies Gaussian filters to larger images (1536×1536) before cropping to required size (512×512) to minimize information loss at image edges.",~86.0M (TreeVision ViT-Base estimated),,CSRNet: 25 epochs; TreeVision: 20 epochs on T4 GPU with batch size 1,Trained on Google Colab T4 GPU,,CNN-Transformer Hybrid,86.0
62,62,MTCDNet (Multimodal Tree Crown Detection Network),CNN-Transformer Hybrid,Transformer encoder (MM-Transformer)|YOLOv5-based CNN backbone,"A transformer-based multimodal feature fusion module (MM-Transformer) with learnable positional encoding that adaptively learns correlations between RGB and CHM features through multi-head self-attention, combined with a hybrid loss function (Focal loss + CIoU loss) for handling occluded and varying-sized tree crowns.",44.52M parameters (full model with MM-Transformer + Learnable PE),,100 epochs training,24GB GPU memory (NVIDIA RTX 3090),"Baseline (simple addition fusion)|MM-Transformer only|MM-Transformer + Learnable PE|Early fusion strategy|Single modality variants (RGB only, Depth only)|Attention head variants (1, 2, 4, 8 heads)",CNN-Transformer Hybrid,44.52
63,63,BARE (Boundary-Aware with Resolution Enhancement),CNN-Transformer Hybrid,SegFormer (MiT-B5)|PSPNet (ResNet-50)|SETR (ViT-base),"An architecture-preserving training strategy that combines external full-resolution loss supervision with class weighting to improve boundary precision without modifying the model architecture. Decoder output is upsampled solely during training for loss computation, maintaining inference efficiency while improving boundary quality. Introduces B-IoU (Boundary-IoU) metric to TCD research.",SegFormer: 84.6M; PSPNet: 49.0M; SETR: 92.1M,SegFormer: 274-290ms; PSPNet: 195-201ms; SETR: 184ms per image,50 epochs on NVIDIA L4 GPUs,SegFormer: 14.4-14.7GB; PSPNet: 12.1-12.3GB,Baseline (standard training)|Class Weighting only (CW)|Full-Resolution supervision only (Full-Res)|BARE (complete approach),CNN-Transformer Hybrid,84.6
